event_code,gid,key,wrong
193-fight with small arms and light weapons,374,APW_ENG_20090322.0887.cameo.xml_193_7,
193-fight with small arms and light weapons,374,APW_ENG_20090322.0188.cameo.xml_193_4,
193-fight with small arms and light weapons,374,APW_ENG_20090323.0071.cameo.xml_193_6,
193-fight with small arms and light weapons,374,NYT_ENG_20090329.0033.cameo.xml_193_2,
193-fight with small arms and light weapons,374,NYT_ENG_20090327.0113.cameo.xml_193_3,
193-fight with small arms and light weapons,384,APW_ENG_20090415.0680.cameo.xml_193_1,
193-fight with small arms and light weapons,384,APW_ENG_20090415.0381.cameo.xml_193_4,
193-fight with small arms and light weapons,373,NYT_ENG_20090404.0090.cameo.xml_193_0,
193-fight with small arms and light weapons,373,AFP_ENG_20090403.0030.cameo.xml_193_0,
193-fight with small arms and light weapons,,AFP_ENG_20090412.0218.cameo.xml_193_11,
193-fight with small arms and light weapons,,AFP_ENG_20090412.0218.cameo.xml_193_12,
193-fight with small arms and light weapons,,AFP_ENG_20090415.0241.cameo.xml_193_1,
193-fight with small arms and light weapons,,APW_ENG_20090325.0188.cameo.xml_193_9,
193-fight with small arms and light weapons,,AFP_ENG_20090324.0518.cameo.xml_193_0,
193-fight with small arms and light weapons,,AFP_ENG_20090312.0245.cameo.xml_193_2,
193-fight with small arms and light weapons,,AFP_ENG_20090422.0788.cameo.xml_193_2,yes
193-fight with small arms and light weapons,,AFP_ENG_20090419.0214.cameo.xml_193_3,
193-fight with small arms and light weapons,,AFP_ENG_20090319.0779.cameo.xml_193_3,
193-fight with small arms and light weapons,,AFP_ENG_20090324.0308.cameo.xml_193_1,yes
193-fight with small arms and light weapons,,APW_ENG_20090412.0418.cameo.xml_193_3,yes
193-fight with small arms and light weapons,,APW_ENG_20090313.0875.cameo.xml_193_6,yes
193-fight with small arms and light weapons,,APW_ENG_20090313.0875.cameo.xml_193_7,yes
193-fight with small arms and light weapons,,APW_ENG_20090331.1469.cameo.xml_193_3,yes
193-fight with small arms and light weapons,,AFP_ENG_20090303.0340.cameo.xml_193_1,
193-fight with small arms and light weapons,,AFP_ENG_20090409.0477.cameo.xml_193_1,
193-fight with small arms and light weapons,,AFP_ENG_20090330.0682.cameo.xml_193_2,
193-fight with small arms and light weapons,,AFP_ENG_20090404.0133.cameo.xml_193_0,
193-fight with small arms and light weapons,,APW_ENG_20090316.0105.cameo.xml_193_5,
193-fight with small arms and light weapons,,NYT_ENG_20090326.0051.cameo.xml_193_2,
193-fight with small arms and light weapons,,APW_ENG_20090407.0564.cameo.xml_193_3,
193-fight with small arms and light weapons,,AFP_ENG_20090307.0130.cameo.xml_193_0,yes
193-fight with small arms and light weapons,,AFP_ENG_20090302.0603.cameo.xml_193_0,
193-fight with small arms and light weapons,,AFP_ENG_20090303.0400.cameo.xml_193_1,
193-fight with small arms and light weapons,,AFP_ENG_20090410.0289.cameo.xml_193_0,
193-fight with small arms and light weapons,,APW_ENG_20090317.1226.cameo.xml_193_11,
193-fight with small arms and light weapons,,NYT_ENG_20090407.0058.cameo.xml_193_5,yes
193-fight with small arms and light weapons,,NYT_ENG_20090407.0058.cameo.xml_193_4,yes
193-fight with small arms and light weapons,,AFP_ENG_20090426.0295.cameo.xml_193_8,
193-fight with small arms and light weapons,,AFP_ENG_20090331.0800.cameo.xml_193_2,
193-fight with small arms and light weapons,,APW_ENG_20090424.0043.cameo.xml_193_18,
193-fight with small arms and light weapons,,AFP_ENG_20090323.0326.cameo.xml_193_0,
193-fight with small arms and light weapons,,APW_ENG_20090420.0526.cameo.xml_193_10,
193-fight with small arms and light weapons,,APW_ENG_20090407.0564.cameo.xml_193_2,
193-fight with small arms and light weapons,,AFP_ENG_20090331.0360.cameo.xml_193_0,
193-fight with small arms and light weapons,,AFP_ENG_20090323.0496.cameo.xml_193_1,
193-fight with small arms and light weapons,,AFP_ENG_20090318.0662.cameo.xml_193_3,
193-fight with small arms and light weapons,,AFP_ENG_20090306.0707.cameo.xml_193_3,
193-fight with small arms and light weapons,,APW_ENG_20090418.0346.cameo.xml_193_4,
193-fight with small arms and light weapons,,APW_ENG_20090417.1078.cameo.xml_193_3,
193-fight with small arms and light weapons,,APW_ENG_20090408.0294.cameo.xml_193_2,yes
193-fight with small arms and light weapons,,APW_ENG_20090408.0294.cameo.xml_193_3,yes
193-fight with small arms and light weapons,,APW_ENG_20090416.0022.cameo.xml_193_8,
193-fight with small arms and light weapons,,APW_ENG_20090410.0377.cameo.xml_193_7,
193-fight with small arms and light weapons,,AFP_ENG_20090412.0188.cameo.xml_193_6,
193-fight with small arms and light weapons,,APW_ENG_20090324.0536.cameo.xml_193_5,
193-fight with small arms and light weapons,,APW_ENG_20090317.0855.cameo.xml_193_4,
193-fight with small arms and light weapons,,AFP_ENG_20090404.0163.cameo.xml_193_9,
193-fight with small arms and light weapons,,AFP_ENG_20090328.0465.cameo.xml_193_1,
193-fight with small arms and light weapons,,AFP_ENG_20090326.0662.cameo.xml_193_3,
193-fight with small arms and light weapons,,AFP_ENG_20090326.0662.cameo.xml_193_4,
193-fight with small arms and light weapons,,AFP_ENG_20090430.0619.cameo.xml_193_3,
193-fight with small arms and light weapons,,APW_ENG_20090308.0637.cameo.xml_193_0,
193-fight with small arms and light weapons,,APW_ENG_20090324.1172.cameo.xml_193_0,
193-fight with small arms and light weapons,,AFP_ENG_20090408.0644.cameo.xml_193_3,
193-fight with small arms and light weapons,,APW_ENG_20090403.1303.cameo.xml_193_3,
193-fight with small arms and light weapons,,APW_ENG_20090412.0418.cameo.xml_193_2,yes
193-fight with small arms and light weapons,,AFP_ENG_20090311.0316.cameo.xml_193_5,
193-fight with small arms and light weapons,,APW_ENG_20090420.0861.cameo.xml_193_2,
193-fight with small arms and light weapons,,NYT_ENG_20090402.0012.cameo.xml_193_1,
193-fight with small arms and light weapons,,AFP_ENG_20090421.0047.cameo.xml_193_0,yes
193-fight with small arms and light weapons,,AFP_ENG_20090422.0858.cameo.xml_193_5,yes
193-fight with small arms and light weapons,,APW_ENG_20090404.0777.cameo.xml_193_1,
193-fight with small arms and light weapons,,NYT_ENG_20090316.0046.cameo.xml_193_3,yes
193-fight with small arms and light weapons,,AFP_ENG_20090408.0644.cameo.xml_193_4,
193-fight with small arms and light weapons,,NYT_ENG_20090413.0186.cameo.xml_193_2,
193-fight with small arms and light weapons,,APW_ENG_20090404.0553.cameo.xml_193_1,
193-fight with small arms and light weapons,,APW_ENG_20090408.0040.cameo.xml_193_0,
193-fight with small arms and light weapons,,AFP_ENG_20090414.0339.cameo.xml_193_2,yes
193-fight with small arms and light weapons,,APW_ENG_20090331.1469.cameo.xml_193_2,yes
"180-Use unconventional violence, not specified elsewhere",332,APW_ENG_20090311.0455.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",332,APW_ENG_20090311.0455.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",332,AFP_ENG_20090312.0645.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",332,AFP_ENG_20090312.0925.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",332,APW_ENG_20090311.1124.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",332,APW_ENG_20090312.0547.cameo.xml_180_6,
"180-Use unconventional violence, not specified elsewhere",334,AFP_ENG_20090311.0926.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",334,APW_ENG_20090311.1082.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",334,APW_ENG_20090311.1183.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",334,AFP_ENG_20090311.0666.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",334,AFP_ENG_20090311.0666.cameo.xml_180_4,
"180-Use unconventional violence, not specified elsewhere",334,AFP_ENG_20090311.0666.cameo.xml_180_3,
"180-Use unconventional violence, not specified elsewhere",334,APW_ENG_20090311.1622.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",334,AFP_ENG_20090311.0666.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",333,AFP_ENG_20090408.0044.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",333,AFP_ENG_20090408.0084.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",336,AFP_ENG_20090307.0360.cameo.xml_180_6,
"180-Use unconventional violence, not specified elsewhere",336,AFP_ENG_20090307.0360.cameo.xml_180_5,
"180-Use unconventional violence, not specified elsewhere",335,APW_ENG_20090416.1226.cameo.xml_180_7,
"180-Use unconventional violence, not specified elsewhere",335,APW_ENG_20090416.1226.cameo.xml_180_8,
"180-Use unconventional violence, not specified elsewhere",338,AFP_ENG_20090303.0030.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",338,AFP_ENG_20090303.0450.cameo.xml_180_3,
"180-Use unconventional violence, not specified elsewhere",338,APW_ENG_20090307.0268.cameo.xml_180_5,
"180-Use unconventional violence, not specified elsewhere",338,APW_ENG_20090307.0268.cameo.xml_180_4,
"180-Use unconventional violence, not specified elsewhere",338,APW_ENG_20090304.1371.cameo.xml_180_4,
"180-Use unconventional violence, not specified elsewhere",338,APW_ENG_20090422.0194.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",338,AFP_ENG_20090303.0280.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",338,AFP_ENG_20090303.0320.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",338,AFP_ENG_20090303.0450.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",338,AFP_ENG_20090303.0560.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",338,AFP_ENG_20090303.0580.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",338,AFP_ENG_20090304.0790.cameo.xml_180_4,
"180-Use unconventional violence, not specified elsewhere",338,AFP_ENG_20090304.0930.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",337,APW_ENG_20090422.0273.cameo.xml_180_7,
"180-Use unconventional violence, not specified elsewhere",337,APW_ENG_20090422.0273.cameo.xml_180_6,
"180-Use unconventional violence, not specified elsewhere",340,APW_ENG_20090419.0163.cameo.xml_180_3,
"180-Use unconventional violence, not specified elsewhere",340,APW_ENG_20090419.0163.cameo.xml_180_4,
"180-Use unconventional violence, not specified elsewhere",340,APW_ENG_20090419.0824.cameo.xml_180_3,
"180-Use unconventional violence, not specified elsewhere",339,AFP_ENG_20090412.0218.cameo.xml_180_4,
"180-Use unconventional violence, not specified elsewhere",339,AFP_ENG_20090412.0218.cameo.xml_180_5,
"180-Use unconventional violence, not specified elsewhere",345,AFP_ENG_20090415.0611.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",345,AFP_ENG_20090331.0740.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",345,APW_ENG_20090312.0974.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",345,APW_ENG_20090302.0689.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",344,AFP_ENG_20090331.0390.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",344,AFP_ENG_20090331.0390.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",347,AFP_ENG_20090412.0218.cameo.xml_180_7,
"180-Use unconventional violence, not specified elsewhere",347,AFP_ENG_20090412.0218.cameo.xml_180_9,
"180-Use unconventional violence, not specified elsewhere",347,AFP_ENG_20090412.0218.cameo.xml_180_8,
"180-Use unconventional violence, not specified elsewhere",346,APW_ENG_20090423.0445.cameo.xml_180_4,
"180-Use unconventional violence, not specified elsewhere",346,APW_ENG_20090423.0445.cameo.xml_180_7,
"180-Use unconventional violence, not specified elsewhere",346,APW_ENG_20090423.0445.cameo.xml_180_5,
"180-Use unconventional violence, not specified elsewhere",346,APW_ENG_20090423.0445.cameo.xml_180_6,
"180-Use unconventional violence, not specified elsewhere",349,APW_ENG_20090315.0115.cameo.xml_180_8,
"180-Use unconventional violence, not specified elsewhere",349,APW_ENG_20090315.0115.cameo.xml_180_7,
"180-Use unconventional violence, not specified elsewhere",348,APW_ENG_20090403.0706.cameo.xml_180_3,
"180-Use unconventional violence, not specified elsewhere",348,APW_ENG_20090403.0706.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",351,APW_ENG_20090401.0657.cameo.xml_180_4,
"180-Use unconventional violence, not specified elsewhere",351,APW_ENG_20090401.0657.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",350,APW_ENG_20090323.0250.cameo.xml_180_3,
"180-Use unconventional violence, not specified elsewhere",350,AFP_ENG_20090323.0546.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",350,AFP_ENG_20090323.0076.cameo.xml_180_9,
"180-Use unconventional violence, not specified elsewhere",353,AFP_ENG_20090412.0238.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",353,AFP_ENG_20090412.0218.cameo.xml_180_6,
"180-Use unconventional violence, not specified elsewhere",352,AFP_ENG_20090419.0034.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",352,AFP_ENG_20090402.0412.cameo.xml_180_5,
"180-Use unconventional violence, not specified elsewhere",352,AFP_ENG_20090402.0412.cameo.xml_180_4,
"180-Use unconventional violence, not specified elsewhere",321,APW_ENG_20090323.0071.cameo.xml_180_4,
"180-Use unconventional violence, not specified elsewhere",321,APW_ENG_20090323.0071.cameo.xml_180_3,
"180-Use unconventional violence, not specified elsewhere",321,APW_ENG_20090322.0887.cameo.xml_180_5,
"180-Use unconventional violence, not specified elsewhere",322,AFP_ENG_20090330.0782.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",322,AFP_ENG_20090330.0782.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",322,APW_ENG_20090331.0847.cameo.xml_180_14,
"180-Use unconventional violence, not specified elsewhere",322,APW_ENG_20090331.0847.cameo.xml_180_9,
"180-Use unconventional violence, not specified elsewhere",322,APW_ENG_20090331.0847.cameo.xml_180_10,
"180-Use unconventional violence, not specified elsewhere",322,NYT_ENG_20090331.0181.cameo.xml_180_6,
"180-Use unconventional violence, not specified elsewhere",323,NYT_ENG_20090303.0066.cameo.xml_180_3,
"180-Use unconventional violence, not specified elsewhere",323,NYT_ENG_20090303.0066.cameo.xml_180_4,
"180-Use unconventional violence, not specified elsewhere",324,APW_ENG_20090331.0847.cameo.xml_180_12,
"180-Use unconventional violence, not specified elsewhere",324,APW_ENG_20090331.0847.cameo.xml_180_11,
"180-Use unconventional violence, not specified elsewhere",317,NYT_ENG_20090407.0058.cameo.xml_180_3,
"180-Use unconventional violence, not specified elsewhere",317,APW_ENG_20090407.0564.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",317,APW_ENG_20090407.0564.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",318,APW_ENG_20090331.1348.cameo.xml_180_7,
"180-Use unconventional violence, not specified elsewhere",318,AFP_ENG_20090410.0489.cameo.xml_180_3,
"180-Use unconventional violence, not specified elsewhere",318,AFP_ENG_20090330.0642.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",318,APW_ENG_20090331.0972.cameo.xml_180_6,
"180-Use unconventional violence, not specified elsewhere",319,APW_ENG_20090427.0224.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",319,APW_ENG_20090427.0224.cameo.xml_180_3,
"180-Use unconventional violence, not specified elsewhere",320,AFP_ENG_20090418.0333.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",320,AFP_ENG_20090418.0313.cameo.xml_180_3,
"180-Use unconventional violence, not specified elsewhere",329,AFP_ENG_20090324.0308.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",329,AFP_ENG_20090308.0369.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",329,AFP_ENG_20090314.0445.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",329,APW_ENG_20090326.1360.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",329,AFP_ENG_20090326.0242.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",330,APW_ENG_20090325.0525.cameo.xml_180_3,
"180-Use unconventional violence, not specified elsewhere",330,AFP_ENG_20090325.0569.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",330,APW_ENG_20090325.0525.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",355,AFP_ENG_20090318.0662.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",355,AFP_ENG_20090318.0662.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",354,APW_ENG_20090321.0231.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",354,AFP_ENG_20090307.0530.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",362,AFP_ENG_20090311.0926.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",362,AFP_ENG_20090311.0666.cameo.xml_180_5,
"180-Use unconventional violence, not specified elsewhere",360,AFP_ENG_20090311.0576.cameo.xml_180_3,
"180-Use unconventional violence, not specified elsewhere",360,APW_ENG_20090311.1582.cameo.xml_180_3,
"180-Use unconventional violence, not specified elsewhere",359,APW_ENG_20090423.0048.cameo.xml_180_3,
"180-Use unconventional violence, not specified elsewhere",359,APW_ENG_20090423.0048.cameo.xml_180_4,
"180-Use unconventional violence, not specified elsewhere",358,AFP_ENG_20090422.0738.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",358,AFP_ENG_20090416.0335.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",357,NYT_ENG_20090310.0045.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",357,NYT_ENG_20090310.0045.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",356,APW_ENG_20090418.0439.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",356,APW_ENG_20090418.0286.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",343,APW_ENG_20090425.0337.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",343,APW_ENG_20090425.0238.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",343,AFP_ENG_20090424.0121.cameo.xml_180_3,
"180-Use unconventional violence, not specified elsewhere",342,AFP_ENG_20090328.0455.cameo.xml_180_3,yes
"180-Use unconventional violence, not specified elsewhere",342,AFP_ENG_20090429.0867.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",342,APW_ENG_20090307.0165.cameo.xml_180_5,
"180-Use unconventional violence, not specified elsewhere",342,APW_ENG_20090330.0013.cameo.xml_180_5,
"180-Use unconventional violence, not specified elsewhere",342,APW_ENG_20090417.0722.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",342,APW_ENG_20090302.0467.cameo.xml_180_3,
"180-Use unconventional violence, not specified elsewhere",342,APW_ENG_20090424.0805.cameo.xml_180_10,
"180-Use unconventional violence, not specified elsewhere",342,APW_ENG_20090408.1183.cameo.xml_180_4,
"180-Use unconventional violence, not specified elsewhere",331,APW_ENG_20090424.0043.cameo.xml_180_12,
"180-Use unconventional violence, not specified elsewhere",331,APW_ENG_20090424.0043.cameo.xml_180_13,
"180-Use unconventional violence, not specified elsewhere",312,AFP_ENG_20090424.0201.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",312,AFP_ENG_20090427.0244.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",312,AFP_ENG_20090424.0201.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",312,AFP_ENG_20090427.0244.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",312,AFP_ENG_20090424.0201.cameo.xml_180_3,
"180-Use unconventional violence, not specified elsewhere",314,APW_ENG_20090319.0565.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",314,APW_ENG_20090319.1456.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",327,AFP_ENG_20090407.0206.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",327,APW_ENG_20090403.1480.cameo.xml_180_6,
"180-Use unconventional violence, not specified elsewhere",328,AFP_ENG_20090413.0538.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",328,AFP_ENG_20090413.0538.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",325,AFP_ENG_20090310.0431.cameo.xml_180_3,
"180-Use unconventional violence, not specified elsewhere",325,APW_ENG_20090310.0992.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",325,APW_ENG_20090310.1174.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",326,AFP_ENG_20090423.0831.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",326,APW_ENG_20090417.0216.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",326,AFP_ENG_20090419.0364.cameo.xml_180_1,
"180-Use unconventional violence, not specified elsewhere",313,AFP_ENG_20090415.0471.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",313,AFP_ENG_20090422.0428.cameo.xml_180_12,
"180-Use unconventional violence, not specified elsewhere",313,AFP_ENG_20090309.0118.cameo.xml_180_7,
"180-Use unconventional violence, not specified elsewhere",315,APW_ENG_20090423.0573.cameo.xml_180_5,
"180-Use unconventional violence, not specified elsewhere",315,APW_ENG_20090320.0456.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",315,NYT_ENG_20090424.0171.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",363,AFP_ENG_20090413.0238.cameo.xml_180_5,
"180-Use unconventional violence, not specified elsewhere",363,AFP_ENG_20090413.0238.cameo.xml_180_8,
"180-Use unconventional violence, not specified elsewhere",363,AFP_ENG_20090415.0701.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",363,APW_ENG_20090414.0153.cameo.xml_180_12,
"180-Use unconventional violence, not specified elsewhere",363,AFP_ENG_20090413.0238.cameo.xml_180_4,
"180-Use unconventional violence, not specified elsewhere",363,APW_ENG_20090413.0743.cameo.xml_180_6,
"180-Use unconventional violence, not specified elsewhere",341,APW_ENG_20090327.1403.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",341,AFP_ENG_20090430.0619.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",316,AFP_ENG_20090311.0566.cameo.xml_180_0,
"180-Use unconventional violence, not specified elsewhere",316,AFP_ENG_20090311.0316.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",311,AFP_ENG_20090427.0044.cameo.xml_180_2,
"180-Use unconventional violence, not specified elsewhere",311,NYT_ENG_20090327.0156.cameo.xml_180_5,
"180-Use unconventional violence, not specified elsewhere",361,AFP_ENG_20090408.0644.cameo.xml_180_2,
